"";"date";"piezostation";"stations"
"1";2008-01-01;0;"THIAMBENE-TEUREUL"
"2";2008-01-01;0;"DGPZ120"
"3";2008-01-01;0;"DGPZ119"
"4";2008-01-01;0;"DGPZ118"
"5";2008-01-01;0;"DGPZ049"
"6";2008-01-01;0;"DGPZ045"
"7";2008-01-01;0;"DGPZ051"
"8";2008-01-01;0;"DGPZ114"
"9";2008-01-01;0;"DGPZ115"
"10";2008-01-01;0;"DGPZ046"
"11";2008-01-01;0;"DGPZ113"
"12";2008-01-01;0;"DGPZ116"
"13";2008-01-01;0;"DGPZ050"
"14";2008-01-01;0;"DGPZ110"
"15";2008-01-01;0;"DGPZ111"
"16";2008-01-01;0;"DGPZ042"
"17";2008-01-01;0;"DGPZ112"
"18";2008-01-01;0;"DGPZ038"
"19";2008-01-01;0;"DGPZ043"
"20";2008-01-01;0;"DGPZ109"
"21";2008-01-01;0;"DGPZ041"
"22";2008-01-01;0;"DGPZ039"
"23";2008-01-01;0;"DGPZ044"
"24";2008-01-01;0;"DGPZ040"
"25";2008-01-01;0;"DGPZ037"
"26";2008-01-01;0;"TAWA FALL"
"27";2008-01-01;0;"FASS BOYE Pz"
"28";2008-01-01;0;"SANTHIOU SINE ICS62"
"29";2008-01-01;0;"NDEUNE"
"30";2008-01-01;0;"TAIBA NDIAYE Pt"
"31";2008-01-01;0;"KAYAR PS7"
"33";2008-01-11;0;"THIAMBENE-TEUREUL"
"34";2008-01-11;0;"DGPZ120"
"35";2008-01-11;0;"DGPZ119"
"36";2008-01-11;0;"DGPZ118"
"37";2008-01-11;0;"DGPZ049"
"38";2008-01-11;0;"DGPZ045"
"39";2008-01-11;0;"DGPZ051"
"40";2008-01-11;0;"DGPZ114"
"41";2008-01-11;0;"DGPZ115"
"42";2008-01-11;0;"DGPZ046"
"43";2008-01-11;0;"DGPZ113"
"44";2008-01-11;0;"DGPZ116"
"45";2008-01-11;0;"DGPZ050"
"46";2008-01-11;0;"DGPZ110"
"47";2008-01-11;0;"DGPZ111"
"48";2008-01-11;0;"DGPZ042"
"49";2008-01-11;0;"DGPZ112"
"50";2008-01-11;0;"DGPZ038"
"51";2008-01-11;0;"DGPZ043"
"52";2008-01-11;0;"DGPZ109"
"53";2008-01-11;0;"DGPZ041"
"54";2008-01-11;0;"DGPZ039"
"55";2008-01-11;0;"DGPZ044"
"56";2008-01-11;0;"DGPZ040"
"57";2008-01-11;0;"DGPZ037"
"58";2008-01-11;0;"TAWA FALL"
"59";2008-01-11;0;"FASS BOYE Pz"
"60";2008-01-11;0;"SANTHIOU SINE ICS62"
"61";2008-01-11;0;"NDEUNE"
"62";2008-01-11;0;"TAIBA NDIAYE Pt"
"63";2008-01-11;0;"KAYAR PS7"
"65";2008-01-21;0;"THIAMBENE-TEUREUL"
"66";2008-01-21;0;"DGPZ120"
"67";2008-01-21;0;"DGPZ119"
"68";2008-01-21;0;"DGPZ118"
"69";2008-01-21;0;"DGPZ049"
"70";2008-01-21;0;"DGPZ045"
"71";2008-01-21;0;"DGPZ051"
"72";2008-01-21;0;"DGPZ114"
"73";2008-01-21;0;"DGPZ115"
"74";2008-01-21;0;"DGPZ046"
"75";2008-01-21;0;"DGPZ113"
"76";2008-01-21;0;"DGPZ116"
"77";2008-01-21;0;"DGPZ050"
"78";2008-01-21;0;"DGPZ110"
"79";2008-01-21;0;"DGPZ111"
"80";2008-01-21;0;"DGPZ042"
"81";2008-01-21;0;"DGPZ112"
"82";2008-01-21;0;"DGPZ038"
"83";2008-01-21;0;"DGPZ043"
"84";2008-01-21;0;"DGPZ109"
"85";2008-01-21;0;"DGPZ041"
"86";2008-01-21;0;"DGPZ039"
"87";2008-01-21;0;"DGPZ044"
"88";2008-01-21;0;"DGPZ040"
"89";2008-01-21;0;"DGPZ037"
"90";2008-01-21;0;"TAWA FALL"
"91";2008-01-21;0;"FASS BOYE Pz"
"92";2008-01-21;0;"SANTHIOU SINE ICS62"
"93";2008-01-21;0;"NDEUNE"
"94";2008-01-21;0;"TAIBA NDIAYE Pt"
"95";2008-01-21;0;"KAYAR PS7"
"97";2008-02-01;0;"THIAMBENE-TEUREUL"
"98";2008-02-01;0;"DGPZ120"
"99";2008-02-01;0;"DGPZ119"
"100";2008-02-01;0;"DGPZ118"
"101";2008-02-01;0;"DGPZ049"
"102";2008-02-01;0;"DGPZ045"
"103";2008-02-01;0;"DGPZ051"
"104";2008-02-01;0;"DGPZ114"
"105";2008-02-01;0;"DGPZ115"
"106";2008-02-01;0;"DGPZ046"
"107";2008-02-01;0;"DGPZ113"
"108";2008-02-01;0;"DGPZ116"
"109";2008-02-01;0;"DGPZ050"
"110";2008-02-01;0;"DGPZ110"
"111";2008-02-01;0;"DGPZ111"
"112";2008-02-01;0;"DGPZ042"
"113";2008-02-01;0;"DGPZ112"
"114";2008-02-01;0;"DGPZ038"
"115";2008-02-01;0;"DGPZ043"
"116";2008-02-01;0;"DGPZ109"
"117";2008-02-01;0;"DGPZ041"
"118";2008-02-01;0;"DGPZ039"
"119";2008-02-01;0;"DGPZ044"
"120";2008-02-01;0;"DGPZ040"
"121";2008-02-01;0;"DGPZ037"
"122";2008-02-01;0;"TAWA FALL"
"123";2008-02-01;0;"FASS BOYE Pz"
"124";2008-02-01;0;"SANTHIOU SINE ICS62"
"125";2008-02-01;0;"NDEUNE"
"126";2008-02-01;0;"TAIBA NDIAYE Pt"
"127";2008-02-01;0;"KAYAR PS7"
"129";2008-02-11;0;"THIAMBENE-TEUREUL"
"130";2008-02-11;0;"DGPZ120"
"131";2008-02-11;0;"DGPZ119"
