"";"expCoeff";"penteInfCoeff";"distrouteCoeff";"ratioliste";"voisUrbCoef";"routesCoef";"route_vois";"popHaIrrig";"popHaUrb";"rmsle";"rmse"
"1";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"false";"12.0";"60.0";2,64;28,6
"2";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"false";"12.0";"65.0";2,64;28,6
"3";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"false";"12.0";"70.0";2,64;28,6
"4";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"false";"15.0";"60.0";2,64;28,6
"5";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"false";"15.0";"65.0";2,64;28,6
"6";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"false";"15.0";"70.0";2,64;28,6
"7";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"false";"9.0";"60.0";2,64;28,6
"8";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"false";"9.0";"65.0";2,64;28,6
"9";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"false";"9.0";"70.0";2,64;28,6
"10";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"true";"12.0";"60.0";2,64;28,61
"11";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"true";"12.0";"65.0";2,64;28,6
"12";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"true";"12.0";"70.0";2,64;28,61
"13";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"true";"15.0";"60.0";2,64;28,6
"14";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"true";"15.0";"65.0";2,64;28,6
"15";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"true";"15.0";"70.0";2,64;28,6
"16";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"true";"9.0";"60.0";2,64;28,6
"17";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"true";"9.0";"65.0";2,64;28,6
"18";"0.0";"3.0";"0.0";"0.2";"0.0";"0.0";"true";"9.0";"70.0";2,64;28,61
"19";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"false";"12.0";"60.0";2,71;29,02
"20";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"false";"12.0";"65.0";2,71;29,02
"21";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"false";"12.0";"70.0";2,71;29,02
"22";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"false";"15.0";"60.0";2,71;29,02
"23";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"false";"15.0";"65.0";2,71;29,02
"24";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"false";"15.0";"70.0";2,71;29,02
"25";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"false";"9.0";"60.0";2,71;29,02
"26";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"false";"9.0";"65.0";2,71;29,02
"27";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"false";"9.0";"70.0";2,71;29,02
"28";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"true";"12.0";"60.0";2,71;29,04
"29";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"true";"12.0";"65.0";2,71;29,04
"30";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"true";"12.0";"70.0";2,71;29,04
"31";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"true";"15.0";"60.0";2,71;29,04
"32";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"true";"15.0";"65.0";2,71;29,04
"33";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"true";"15.0";"70.0";2,71;29,04
"34";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"true";"9.0";"60.0";2,71;29,04
"35";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"true";"9.0";"65.0";2,71;29,04
"36";"0.0";"3.0";"0.0";"0.2";"0.0";"3.0";"true";"9.0";"70.0";2,71;29,04
"37";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"false";"12.0";"60.0";2,71;29,02
"38";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"false";"12.0";"65.0";2,71;29,02
"39";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"false";"12.0";"70.0";2,71;29,02
"40";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"false";"15.0";"60.0";2,71;29,02
"41";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"false";"15.0";"65.0";2,71;29,02
"42";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"false";"15.0";"70.0";2,71;29,02
"43";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"false";"9.0";"60.0";2,71;29,02
"44";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"false";"9.0";"65.0";2,71;29,02
"45";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"false";"9.0";"70.0";2,71;29,02
"46";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"12.0";"60.0";2,71;29,04
"47";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"12.0";"65.0";2,71;29,04
"48";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"12.0";"70.0";2,71;29,04
"49";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"15.0";"60.0";2,71;29,04
"50";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"15.0";"65.0";2,71;29,04
"51";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"15.0";"70.0";2,71;29,04
"52";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"9.0";"60.0";2,71;29,04
"53";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"9.0";"65.0";2,71;29,04
"54";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"9.0";"70.0";2,71;29,04
"55";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"12.0";"60.0";2,71;29,02
"56";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"12.0";"65.0";2,71;29,02
