"";"latitude";"longitude";"suptotculm";"ratiosuplo";"ratio_irr_";"nb_boeufs_";"rev_boeuf_";"rev_volail";"rev_mouton";"revenu_ele";"revenu_ag_";"rev_ag_csf";"rev_ag_csc";"rev_transf";"personne_m";"rev_non_ag";"rev_tot_me";"part_rev_e";"part_rev_t";"part_rev_n";"part_rev_a";"montan_glo";"cout_iriga";"cout_iri_1";"cout_irrig";"cout_irr_1";"main_oeuvr";"main_oeu_1";"mo_tot";"part_mo_fa";"rendement_";"rendemen_1";"mo_tot_ha";"quantite_n";"quantite_u";"cout_npk_t";"cout_uree_";"cout_engra";"quantite_1";"quantite_2";"cout_semen";"cout_ure_1";"cout_npk_1";"cout_eng_1";"cout_intra";"cout_int_1";"cout_sem_1";"part_cout_";"part_cou_1";"dist_dakar";"dist_route";"pourc_urba";"travailleu";"membre_act";"taille_men";"membre_hor";"log_trav_h";"surf_score";"y_hat";"y_mean";"sse_i";"sst_i";"ss_bis";"credit";"capital";"sup_Autre";"sup_Carrasol";"sup_Carrotte";"sup_Chou";"sup_Gombo";"sup_Mangue";"sup_Manioc";"sup_Navet";"sup_Oignon";"sup_Pasteque";"sup_Piment";"sup_Tomate";"sup_bissap";"sup_citronelle";"sup_laitue";"sup_menthe";"sup_persil"
"latitude";1;0,937523245655171;-0,170883147764405;NA;NA;-0,0477335931805531;-0,0341805458815454;-0,0766673352478005;0,137908432023575;-0,011386308196626;-0,0786913084800576;-0,0748368535206575;-0,0870301788979093;-0,0868541271202015;-0,106844530664962;0,0735566538698537;-0,0789438319178253;0,0402340554357158;-0,0313220242013051;0,104799604829351;-0,0228579277024312;-0,0596443884170243;-0,113971746828591;-0,0927590634978437;-0,133370468664779;-0,094389063225077;0,0241242550646657;-0,00321221392239413;0,0160637508413512;0,049825474551805;NA;NA;0,202910726653706;-0,093346954032416;-0,0430611644214142;-0,101731167742877;-0,0365336768470315;-0,154784729708673;0,316712902476401;0,203879551232385;-0,128638864628224;0,249428444739961;0,310588021117466;-0,0138418614600627;-0,158035819885324;-0,0121855320897117;0,0274870767857887;-0,0416793449210594;0,0416793418331514;NA;NA;NA;0,0241242550646657;-0,0476444793124192;-0,00168816790404716;-0,00926817202779737;0,37910220855705;-0,220640430990473;NA;NA;NA;0,281042648851354;NA;-0,0596443884170243;NA;-0,0245750544798378;NA;0,0156093795542818;-0,157490342431075;-0,0549618312646879;-0,0639709649043551;-0,03106841842133;-0,0185816658460996;-0,0561871718641601;NA;-0,127132686079443;0,0172510006187107;NA;-0,071096933859179;-0,0786326966799126;-0,0653326597836148;NA
"longitude";0,937523245655171;1;-0,227098191466708;NA;NA;-0,0460180465693295;-0,0236578249260196;-0,035169295350057;0,0985858283999949;-0,00390119256663914;-0,0719492344175694;-0,0676882040567938;-0,0812636783818318;-0,0571642524949949;-0,115005201581018;0,0390825575103903;-0,0721212215284933;0,0471996961413423;0,0165320263568597;0,0604315374668093;-0,0505472942095742;-0,0663709752349467;-0,112108748171365;-0,091380978708806;-0,131275180312626;-0,0714477811454974;0,0443513641578561;-0,067141195977603;-0,0262365230750272;0,115229041429644;NA;NA;0,229248427378535;-0,115751562223439;-0,0599360438224501;-0,12620025875467;-0,0561141060857548;-0,207671873051523;0,344323932390192;0,236918308060406;-0,14657897420727;0,281034645094853;0,333033496841769;-0,0661782542972244;-0,210927264578307;-0,0620674492896681;0,0713058881316927;0,0176580521757383;-0,0176580534375315;NA;NA;NA;0,0443513641578561;-0,0402187264499428;0,0239657529852659;0,0123704272976353;0,456252845817231;-0,29654362214232;NA;NA;NA;0,325836163960245;NA;-0,0663709752349467;NA;-0,0373329185666115;NA;-0,00604010575461152;-0,180342779436365;0,00318076064482071;-0,0751937495895672;-0,010525683300714;-0,025431075772566;-0,0773821010221723;NA;-0,123524491290178;-0,010192383629347;NA;-0,0691170465969836;-0,0916320528293472;-0,0762302272940274;NA
"suptotculm";-0,170883147764405;-0,227098191466708;1;NA;NA;0,165373763924681;0,07709129110273;-0,0161105440775836;0,17299932699468;0,124752873976118;0,126307416025338;0,113152789189209;0,155674215757718;-0,0294607055921772;0,201596185239678;0,0840042295967784;0,126536935706597;-0,00912039519599388;-0,140622380347379;-0,0156877120190965;0,124909010723185;0,108846042525153;0,145306537552056;0,102744195998232;0,16051431132269;-0,0545464882065418;0,220711412869142;0,426712593882239;0,562349924997912;-0,0619259306158102;NA;NA;-0,183806179992349;0,611405469670133;0,599211528892359;0,608612558771368;0,585678769622816;0,560890481969955;-0,193508227601726;-0,191917616771597;0,577447379759015;-0,221248663667663;-0,202737912621105;0,138830123157113;0,577405823107272;0,136734595626471;-0,0465412208746092;-0,0878855355513123;0,0878855343739401;NA;NA;NA;0,220711412869142;0,308017245604867;0,323684818838851;0,283653888439941;-0,545411877175668;0,80925778780371;NA;NA;NA;-0,122753208750575;NA;0,108846042525153;NA;0,290535318811675;NA;0,273757473806587;0,743292015838662;-0,0299479018927525;0,134602882753157;0,0826694297360842;0,264312911145469;0,410178903557846;NA;0,0681931659801482;0,133567630150433;NA;0,0583192516689479;-0,0213373957967762;0,00704785161002005;NA
"ratiosuplo";NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ratio_irr_";NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"nb_boeufs_";-0,0477335931805531;-0,0460180465693295;0,165373763924681;NA;NA;1;0,945618785040858;-0,00431706911602375;0,10001832621984;0,751480787669892;-0,000515159279667279;-0,00261809778793888;0,00431161899428172;0,171511286404219;0,16373027848572;0,11296588026831;0,00170307393579343;0,369003291959444;0,0517116296936525;0,014607217584195;-0,181557192829158;-0,0263435055172305;-0,00799784333345765;-0,00445014058637161;-0,00809528190797756;-0,0232306418666734;0,103827754157777;0,0247322170883414;0,10425143777976;0,0328575664850931;NA;NA;-0,0329143020773634;0,0287572730250526;0,0519027120624714;0,0390076523038921;0,0518016564718812;0,0939608317161702;-0,0499998747394925;0,00414641356391078;0,0489258280994435;0,00458324302641243;-0,0360973405966979;0,0209138662601033;0,0946938545712697;0,0199731506797686;-0,0168771736438459;-0,0481315632594952;0,0481315613102023;NA;NA;NA;0,103827754157777;0,0348808351851292;0,0689889595074461;0,0429578607945844;-0,0649551013409727;0,113410206499217;NA;NA;NA;-0,0409881434191175;NA;-0,0263435055172305;NA;0,0835810154341412;NA;-0,0244547934861052;0,204532291686468;-0,0087469779314512;-0,0118435784389903;-0,014305848316123;-0,032343902403332;0,0331548991916076;NA;-0,0523242175866729;0,0310751463123424;NA;-0,00810044371809031;-0,00810044371809031;-0,00910295241573865;NA
"rev_boeuf_";-0,0341805458815454;-0,0236578249260196;0,07709129110273;NA;NA;0,945618785040858;1;-0,00215738015311907;0,094024956120538;0,799095358406761;-0,00377305840036582;-0,00402163401550698;-0,0031788299914205;0,117078424062879;0,118133865820657;0,0736207330887963;-0,0017351267374047;0,407665134324617;0,043663826337467;0,0154895299495407;-0,189214225694235;-0,0236276062052322;-0,00940500087250839;-0,00631233106161891;-0,0101819862611412;-0,0203557665569186;0,0848819073583227;0,0134975046627021;0,0791066163672004;0,0259905494753299;NA;NA;-0,0281976422096561;0,018660038707751;0,0414825360298104;0,0296889104084592;0,0416109317850442;0,0372856235851896;-0,0342726710333953;0,0298541327193026;0,0289323880461907;0,0289940501828453;-0,0185081834039804;-0,00827285329187416;0,0379813534003103;-0,00862696682130032;-0,00478725122402566;-0,0290480146763856;0,029048014765297;NA;NA;NA;0,0848819073583227;0,0357294069177368;0,0546140171086734;0,0331784882209103;-0,0389052487853201;0,083252171815368;NA;NA;NA;-0,0487531718487713;NA;-0,0236276062052322;NA;0,115750122814583;NA;-0,0178217937950182;0,0933132722680049;-0,00784520305830251;-0,0106225577015257;-0,0128309784065774;-0,0290093886186311;0,0135009404783868;NA;-0,0469298213681611;0,0446520885890103;NA;-0,0072653236727929;-0,0072653236727929;-0,0081644781421881;NA
"rev_volail";-0,0766673352478005;-0,035169295350057;-0,0161105440775836;NA;NA;-0,00431706911602375;-0,00215738015311907;1;-0,015860369835416;0,388467516888852;-0,00398726231035719;-0,00288109826820291;-0,00649902154505468;-0,0196340150257574;-0,0379515537639727;-0,0124548278452333;-0,00336384675555972;0,529726843136038;-0,0208349043181996;-0,0039412117432279;-0,173760352224221;0,0660896870037592;-0,00133899546187062;-0,001185573082051;-0,00162569762589754;0,0492543907342467;-0,0481914710276527;0,00948564504616787;-0,0292946697024752;-0,0596263935115792;NA;NA;0,0641940929189903;-0,0272750530938615;-0,0349280552970823;-0,0280179844070685;-0,0341607848387247;-0,0221148108711175;-0,0538217150408932;-0,0723185768927011;0,000981153517874895;-0,0621836285363871;-0,0404916170048331;0,148550619308714;-0,0217557746560241;0,148500336742324;-0,0152003717533513;0,0893040343845206;-0,0893040485614462;NA;NA;NA;-0,0481914710276527;-0,0629332209453668;-0,0418405990359247;-0,0306072144652489;0,0528200658643129;-0,00372826637387769;NA;NA;NA;0,13459128948912;NA;0,0660896870037592;NA;-0,0241927844781081;NA;-0,00669593903836493;-0,0331659079585094;-0,00410533868272924;-0,00555870851493712;-0,00671435928405191;-0,013358742657569;-0,0386955835352185;NA;0,139656480880145;-0,028886804635029;NA;-0,0038018919452824;-0,0038018919452824;-0,00427241305194139;NA
"rev_mouton";0,137908432023575;0,0985858283999949;0,17299932699468;NA;NA;0,10001832621984;0,094024956120538;-0,015860369835416;1;0,430864169685527;-0,00837215877169042;-0,00851038509704032;-0,00800169414046802;-0,019229684405908;-0,024274540951429;0,210878500394342;-0,00735161784654782;0,496555472858722;-0,0704122651041705;0,256954493495712;-0,205783667570029;-0,0411681734581032;0,0357848609585717;0,0194846269441818;0,0359589336144667;-0,0425569588517085;-0,141446867915859;0,194216248372215;0,0655393465068838;-0,201080617569141;NA;NA;-0,071038707223258;0,254391814609323;0,133758011327;0,257819515047389;0,127753641311632;0,0935744556959962;-0,0518160159597736;-0,0612393429194888;0,0792944861059126;-0,0797499862630548;-0,0545489521065339;-0,0271568162212739;0,0956048158366311;-0,030827775738669;-0,0553112922314669;-0,0671686686130989;0,0671686638614126;NA;NA;NA;-0,141446867915859;-0,0182514797875196;-0,0142718420066807;0,0280822000314131;-0,204720978944409;0,206669566381202;NA;NA;NA;-0,0727275115116481;NA;-0,0411681734581032;NA;0,135312082369984;NA;0,0311106875433351;0,145863478177162;-0,0165559977072522;-0,0224171432714537;-0,027077648277859;0,0528352476683182;0,201257850764012;NA;-0,0583374965213106;0,153196002166567;NA;-0,0153322586012491;-0,0153322586012491;-0,0172297747296581;NA
"revenu_ele";-0,011386308196626;-0,00390119256663914;0,124752873976118;NA;NA;0,751480787669892;0,799095358406761;0,388467516888852;0,430864169685527;1;0,0569572658553231;0,0573797346004541;0,0556248612064489;0,0587702034812647;0,0586948866703615;0,115737103072569;0,0591959629885268;0,713641878251876;-0,0115485657300297;0,095333299716285;-0,280611618167501;0,00411285304410837;0,00676930609531654;0,00287370637639503;0,00630376302652368;-0,0142729606775103;-0,00574455309079966;0,0879474436660809;0,0755743636419223;-0,0820151486687402;NA;NA;-0,0272135117982831;0,122336268140816;0,0838363290018825;0,133025005944628;0,0810145947444256;0,0663469470913575;-0,0608373615523441;-0,0291834216552975;0,0609371769917733;-0,0356413641387915;-0,0452962195336751;0,0436914995937094;0,0679870988043166;0,0417314910980585;-0,0351754209485844;-0,0140316580333028;0,0140316476403652;NA;NA;NA;-0,00574455309079966;-0,00370454473474394;0,0237957278790485;0,0276231158078767;-0,09801916862198;0,157398119371162;NA;NA;NA;-0,0186040958697101;NA;0,00411285304410837;NA;0,138110986353362;NA;0,0024051231898018;0,107759457478523;-0,0147506117419795;-0,0199726155202773;-0,024124905287805;0,0193087817700461;0,0843049724540913;NA;-0,0048073626973541;0,0908485960722002;NA;-0,0136603180160857;-0,0136603180160857;-0,015350915235246;NA
