"";"years";"cr.__diokoul_m.belbouck";"com._kebemer";"arrondissement_ndande";"cr.__badegne_ouolof";"cr.__diokoul_diawrigne";"cr.__kab_gaye";"cr.__ndande";"cr.__thieppe";"cr.__diende";"departement_thies";"com._pout";"com._cayar";"arrondissement_thies_nord";"ca._thies_nord";"arrondissement_thies_sud";"ca._thies_est";"ca._thies_ouest";"cr.__notto";"arrondissemnt__keur_moussa";"cr.__diender_guedji";"cr.__fandene";"cr.__keur_moussa";"departement__tivaouane";"com._mekhe";"com._tivaouane";"com._m.boro";"arrondissement__meouane";"cr.__meouane";"cr.__taiba_n.diaye";"cr.__darou_khoudoss";"arrondissement__pambal";"cr.__cherif_lo";"cr.__mont__rolland";"cr.__notto_gouye_diama";"cr.__pire_goureye";"cr._pambal"
"1";2000;15280;13911;57261;11085;11081;7879;16763;10454;8039;471952;16769;16668;73565;73565;151001;93343;57659;29637;71527;23542;19823;28163;319555;16215;49156;19571;78667;25169;15737;37760;60397;12589;9980;15416;16521;5891
"2";2001;15834;14299;58861;11394;11391;8099;17231;10746;8315;484724;17222;17119;75556;75556;155088;95869;59220;30439;73463;24179;20360;28925;328203;16654;50486;20101;80796;25850;16163;38782;62031;12930;10250;15833;16968;6050
"3";2002;16408;14699;60505;11713;11709;8325;17713;11046;8601;497842;17689;17582;77601;77601;159285;98463;60822;31262;75451;24833;20911;29707;337085;17104;51852;20645;82982;26550;16600;39832;63710;13279;10528;16262;17427;6214
"4";2003;17003;15109;62195;12040;12036;8558;18208;11354;8897;511314;18167;18058;79701;79701;163596;101128;62468;32108;77493;25505;21477;30511;346207;17567;53256;21203;85228;27269;17050;40910;65434;13639;10813;16702;17899;6382
"5";2004;17619;15531;63932;12376;12372;8797;18716;11672;9203;525152;18659;18546;81858;81858;168023;103864;64159;32977;79590;26196;22058;31337;355577;18043;54697;21777;87534;28007;17511;42017;67205;14008;11105;17154;18383;6555
"6";2005;18258;15965;65718;12722;12718;9043;19239;11998;9520;539363;19164;19048;84073;84073;172570;106675;65895;33870;81744;26904;22655;32185;365199;18531;56177;22366;89903;28764;17985;43154;69024;14387;11406;17618;18881;6732
"7";2006;18920;16411;67554;13077;13073;9295;19776;12333;9848;553960;19683;19564;86348;86348;177240;109562;67678;34786;83956;27633;23268;33056;375082;19032;57697;22972;92336;29543;18472;44322;70892;14776;11714;18095;19391;6914
"8";2007;19606;16870;69441;13443;13438;9555;20329;12677;10186;568951;20215;20093;88685;88685;182037;112527;69510;35728;86228;28380;23898;33951;385233;19548;59259;23593;94835;30342;18971;45521;72810;15176;12031;18585;19916;7101
"9";2008;20317;17341;71381;13818;13814;9822;20897;13031;10537;584348;20762;20637;91085;91085;186963;115572;71391;36695;88561;29148;24544;34869;395658;20076;60863;24232;97401;31164;19485;46753;74781;15587;12357;19088;20455;7293
"10";2009;21053;17825;73375;14204;14200;10096;21480;13395;10900;600162;21324;21196;93550;93550;192023;118700;73323;37688;90958;29937;25208;35813;406365;20620;62510;24888;100037;32007;20012;48018;76804;16009;12691;19604;21009;7491
"11";2010;21817;18323;75424;14601;14596;10378;22080;13770;11275;616404;21901;21769;96081;96081;197219;121912;75307;38708;93420;30747;25891;36782;417363;21178;64201;25561;102745;32873;20554;49318;78883;16442;13035;20135;21577;7693
"12";2011;22608;18835;77531;15009;15004;10668;22697;14154;11663;633085;22494;22358;98682;98682;202556;125211;77345;39755;95948;31580;26591;37778;428657;21751;65939;26253;105525;33763;21110;50652;81018;16887;13388;20680;22161;7902
"13";2012;23428;19361;79697;15428;15423;10966;23331;14550;12064;650218;23103;22964;101352;101352;208038;128600;79438;40831;98544;32434;27311;38800;440258;22339;67723;26963;108381;34677;21681;52023;83210;17344;13750;21239;22761;8115
"14";2013;24277;19902;81923;15859;15854;11272;23983;14956;12479;667814;23728;23585;104095;104095;213668;132080;81588;41936;101211;33312;28050;39850;452172;22944;69556;27693;111314;35615;22268;53431;85462;17813;14122;21814;23377;8335
"15";2014;25174;20461;84223;16304;16299;11588;24656;15376;12895;686294;24385;24238;106975;106976;219581;135735;83846;43096;104012;34234;28826;40953;464685;23579;71481;28459;114394;36601;22884;54910;87827;18306;14513;22418;24024;8566
"16";2015;26103;21037;86595;16763;16758;11915;25351;15809;13327;705317;25061;24909;109941;109941;225667;139497;86170;44291;106895;35183;29625;42088;477565;24232;73462;29248;117565;37615;23519;56432;90261;18813;14915;23039;24690;8803
"17";2016;27061;21630;89037;17236;17231;12251;26066;16255;13776;724814;25753;25598;112980;112980;231905;143353;88552;45515;109850;36155;30444;43251;490766;24902;75493;30057;120815;38655;24169;57991;92756;19333;15327;23676;25372;9046
"18";2017;28050;22240;91547;17722;17716;12596;26800;16713;14243;744782;26463;26303;116092;116092;238294;147303;90991;46769;112876;37151;31283;44443;504286;25588;77573;30885;124143;39720;24834;59589;95312;19866;15750;24328;26071;9296
"19";2018;29071;22866;94125;18221;18215;12951;27555;17184;14729;765213;27189;27025;119277;119277;244831;151343;93487;48052;115972;38170;32141;45662;518120;26290;79701;31732;127549;40809;25516;61224;97926;20411;16182;24996;26786;9551
"20";2019;30124;23509;96772;18734;18728;13315;28330;17667;15234;786097;27931;27762;122532;122532;251513;155474;96039;49364;119137;39212;33018;46908;532261;27008;81876;32598;131030;41923;26212;62895;100599;20968;16623;25678;27518;9811
"21";2020;31211;24169;99486;19259;19253;13689;29125;18162;15760;807422;28688;28516;125856;125856;258336;159692;98644;50703;122369;40276;33914;48181;546700;27741;84097;33482;134585;43060;26923;64601;103328;21537;17074;26374;28264;10077
"22";2021;32334;24844;102266;19797;19791;14071;29938;18670;16307;829174;29461;29284;129247;129247;265295;163994;101302;52069;125666;41361;34828;49479;561428;28488;86362;34384;138210;44220;27648;66341;106112;22117;17534;27085;29025;10349
"23";2022;33495;25535;105110;20348;20341;14462;30771;19189;16877;851335;30249;30066;132701;132701;272386;168377;104009;53460;129025;42466;35758;50801;576432;29249;88671;35303;141904;45402;28387;68114;108948;22708;18003;27809;29801;10626
