"";"years";"cr.__diokoul_m.belbouck";"com._kebemer";"arrondissement_ndande";"cr.__badegne_ouolof";"cr.__diokoul_diawrigne";"cr.__kab_gaye";"cr.__ndande";"cr.__thieppe";"cr.__diende";"departement_thies";"com._pout";"com._cayar";"arrondissement_thies_nord";"ca._thies_nord";"arrondissement_thies_sud";"ca._thies_est";"ca._thies_ouest";"cr.__notto";"arrondissemnt__keur_moussa";"cr.__diender_guedji";"cr.__fandene";"cr.__keur_moussa";"departement__tivaouane";"com._mekhe";"com._tivaouane";"com._m.boro";"arrondissement__meouane";"cr.__meouane";"cr.__taiba_n.diaye";"cr.__darou_khoudoss";"arrondissement__pambal";"cr.__cherif_lo";"cr.__mont__rolland";"cr.__notto_gouye_diama";"cr.__pire_goureye";"cr._pambal"
"1";2013;24277;19902;81923;15859;15854;11272;23983;14956;12479;667814;23728;23585;104095;104095;213668;132080;81588;41936;101211;33312;28050;39850;452172;22944;69556;27693;111314;35615;22268;53431;85462;17813;14122;21814;23377;8335
"2";2014;25174;20461;84223;16304;16299;11588;24656;15376;12895;686294;24385;24238;106975;106976;219581;135735;83846;43096;104012;34234;28826;40953;464685;23579;71481;28459;114394;36601;22884;54910;87827;18306;14513;22418;24024;8566
"3";2015;26103;21037;86595;16763;16758;11915;25351;15809;13327;705317;25061;24909;109941;109941;225667;139497;86170;44291;106895;35183;29625;42088;477565;24232;73462;29248;117565;37615;23519;56432;90261;18813;14915;23039;24690;8803
"4";2016;27061;21630;89037;17236;17231;12251;26066;16255;13776;724814;25753;25598;112980;112980;231905;143353;88552;45515;109850;36155;30444;43251;490766;24902;75493;30057;120815;38655;24169;57991;92756;19333;15327;23676;25372;9046
"5";2017;28050;22240;91547;17722;17716;12596;26800;16713;14243;744782;26463;26303;116092;116092;238294;147303;90991;46769;112876;37151;31283;44443;504286;25588;77573;30885;124143;39720;24834;59589;95312;19866;15750;24328;26071;9296
"6";2018;29071;22866;94125;18221;18215;12951;27555;17184;14729;765213;27189;27025;119277;119277;244831;151343;93487;48052;115972;38170;32141;45662;518120;26290;79701;31732;127549;40809;25516;61224;97926;20411;16182;24996;26786;9551
"7";2019;30124;23509;96772;18734;18728;13315;28330;17667;15234;786097;27931;27762;122532;122532;251513;155474;96039;49364;119137;39212;33018;46908;532261;27008;81876;32598;131030;41923;26212;62895;100599;20968;16623;25678;27518;9811
"8";2020;31211;24169;99486;19259;19253;13689;29125;18162;15760;807422;28688;28516;125856;125856;258336;159692;98644;50703;122369;40276;33914;48181;546700;27741;84097;33482;134585;43060;26923;64601;103328;21537;17074;26374;28264;10077
"9";2021;32334;24844;102266;19797;19791;14071;29938;18670;16307;829174;29461;29284;129247;129247;265295;163994;101302;52069;125666;41361;34828;49479;561428;28488;86362;34384;138210;44220;27648;66341;106112;22117;17534;27085;29025;10349
"10";2022;33495;25535;105110;20348;20341;14462;30771;19189;16877;851335;30249;30066;132701;132701;272386;168377;104009;53460;129025;42466;35758;50801;576432;29249;88671;35303;141904;45402;28387;68114;108948;22708;18003;27809;29801;10626
