"date";"stations";"piezostation"
2008-01-01;"THIAMBENE-TEUREUL";0
2008-01-01;"DGPZ120";0
2008-01-01;"DGPZ119";0
2008-01-01;"DGPZ118";0
2008-01-01;"DGPZ049";0
2008-01-01;"DGPZ045";0
2008-01-01;"DGPZ051";0
2008-01-01;"DGPZ114";0
2008-01-01;"DGPZ115";0
2008-01-01;"DGPZ046";0
2008-01-01;"DGPZ113";0
2008-01-01;"DGPZ116";0
2008-01-01;"DGPZ050";0
2008-01-01;"DGPZ110";0
2008-01-01;"DGPZ111";0
2008-01-01;"DGPZ042";0
2008-01-01;"DGPZ112";0
2008-01-01;"DGPZ038";0
2008-01-01;"DGPZ043";0
2008-01-01;"DGPZ109";0
2008-01-01;"DGPZ041";0
2008-01-01;"DGPZ039";0
2008-01-01;"DGPZ044";0
2008-01-01;"DGPZ040";0
2008-01-01;"DGPZ037";0
2008-01-01;"TAWA FALL";0
2008-01-01;"FASS BOYE Pz";0
2008-01-01;"SANTHIOU SINE ICS62";0
2008-01-01;"NDEUNE";0
2008-01-01;"TAIBA NDIAYE Pt";0
2008-01-01;"KAYAR PS7";0
2008-01-11;"THIAMBENE-TEUREUL";0
2008-01-11;"DGPZ120";0
2008-01-11;"DGPZ119";0
2008-01-11;"DGPZ118";0
2008-01-11;"DGPZ049";0
2008-01-11;"DGPZ045";0
2008-01-11;"DGPZ051";0
2008-01-11;"DGPZ114";0
2008-01-11;"DGPZ115";0
2008-01-11;"DGPZ046";0
2008-01-11;"DGPZ113";0
2008-01-11;"DGPZ116";0
2008-01-11;"DGPZ050";0
2008-01-11;"DGPZ110";0
2008-01-11;"DGPZ111";0
2008-01-11;"DGPZ042";0
2008-01-11;"DGPZ112";0
2008-01-11;"DGPZ038";0
2008-01-11;"DGPZ043";0
2008-01-11;"DGPZ109";0
2008-01-11;"DGPZ041";0
2008-01-11;"DGPZ039";0
2008-01-11;"DGPZ044";0
2008-01-11;"DGPZ040";0
2008-01-11;"DGPZ037";0
2008-01-11;"TAWA FALL";0
2008-01-11;"FASS BOYE Pz";0
2008-01-11;"SANTHIOU SINE ICS62";0
2008-01-11;"NDEUNE";0
2008-01-11;"TAIBA NDIAYE Pt";0
2008-01-11;"KAYAR PS7";0
2008-01-21;"THIAMBENE-TEUREUL";0
2008-01-21;"DGPZ120";0
2008-01-21;"DGPZ119";0
2008-01-21;"DGPZ118";0
2008-01-21;"DGPZ049";0
2008-01-21;"DGPZ045";0
2008-01-21;"DGPZ051";0
2008-01-21;"DGPZ114";0
2008-01-21;"DGPZ115";0
2008-01-21;"DGPZ046";0
2008-01-21;"DGPZ113";0
2008-01-21;"DGPZ116";0
2008-01-21;"DGPZ050";0
2008-01-21;"DGPZ110";0
2008-01-21;"DGPZ111";0
2008-01-21;"DGPZ042";0
2008-01-21;"DGPZ112";0
2008-01-21;"DGPZ038";0
2008-01-21;"DGPZ043";0
2008-01-21;"DGPZ109";0
2008-01-21;"DGPZ041";0
2008-01-21;"DGPZ039";0
2008-01-21;"DGPZ044";0
2008-01-21;"DGPZ040";0
2008-01-21;"DGPZ037";0
2008-01-21;"TAWA FALL";0
2008-01-21;"FASS BOYE Pz";0
2008-01-21;"SANTHIOU SINE ICS62";0
2008-01-21;"NDEUNE";0
2008-01-21;"TAIBA NDIAYE Pt";0
2008-01-21;"KAYAR PS7";0
2008-02-01;"THIAMBENE-TEUREUL";0
2008-02-01;"DGPZ120";0
2008-02-01;"DGPZ119";0
2008-02-01;"DGPZ118";0
2008-02-01;"DGPZ049";0
2008-02-01;"DGPZ045";0
2008-02-01;"DGPZ051";0
2008-02-01;"DGPZ114";0
2008-02-01;"DGPZ115";0
2008-02-01;"DGPZ046";0
2008-02-01;"DGPZ113";0
2008-02-01;"DGPZ116";0
2008-02-01;"DGPZ050";0
2008-02-01;"DGPZ110";0
2008-02-01;"DGPZ111";0
2008-02-01;"DGPZ042";0
2008-02-01;"DGPZ112";0
2008-02-01;"DGPZ038";0
2008-02-01;"DGPZ043";0
2008-02-01;"DGPZ109";0
2008-02-01;"DGPZ041";0
2008-02-01;"DGPZ039";0
2008-02-01;"DGPZ044";0
2008-02-01;"DGPZ040";0
2008-02-01;"DGPZ037";0
2008-02-01;"TAWA FALL";0
2008-02-01;"FASS BOYE Pz";0
2008-02-01;"SANTHIOU SINE ICS62";0
2008-02-01;"NDEUNE";0
2008-02-01;"TAIBA NDIAYE Pt";0
2008-02-01;"KAYAR PS7";0
2008-02-11;"THIAMBENE-TEUREUL";0
2008-02-11;"DGPZ120";0
2008-02-11;"DGPZ119";0
2008-02-11;"DGPZ118";0
2008-02-11;"DGPZ049";0
2008-02-11;"DGPZ045";0
2008-02-11;"DGPZ051";0
2008-02-11;"DGPZ114";0
2008-02-11;"DGPZ115";0
2008-02-11;"DGPZ046";0
2008-02-11;"DGPZ113";0
2008-02-11;"DGPZ116";0
2008-02-11;"DGPZ050";0
2008-02-11;"DGPZ110";0
2008-02-11;"DGPZ111";0
2008-02-11;"DGPZ042";0
2008-02-11;"DGPZ112";0
2008-02-11;"DGPZ038";0
2008-02-11;"DGPZ043";0
2008-02-11;"DGPZ109";0
2008-02-11;"DGPZ041";0
2008-02-11;"DGPZ039";0
2008-02-11;"DGPZ044";0
2008-02-11;"DGPZ040";0
2008-02-11;"DGPZ037";0
2008-02-11;"TAWA FALL";0
2008-02-11;"FASS BOYE Pz";0
2008-02-11;"SANTHIOU SINE ICS62";0
2008-02-11;"NDEUNE";0
2008-02-11;"TAIBA NDIAYE Pt";0
2008-02-11;"KAYAR PS7";0
2008-02-21;"THIAMBENE-TEUREUL";0
2008-02-21;"DGPZ120";0
2008-02-21;"DGPZ119";0
2008-02-21;"DGPZ118";0
2008-02-21;"DGPZ049";0
2008-02-21;"DGPZ045";0
2008-02-21;"DGPZ051";0
2008-02-21;"DGPZ114";0
2008-02-21;"DGPZ115";0
2008-02-21;"DGPZ046";0
