"";"producteur_ID";"saison";"culture_label.x";"sup_emblavee_ha";"quant_semence_kg";"quant_uree_kg";"quant_npk_kg";"capital";"cluster";"suptotculmen";"capital_spatialise";"quant_eau";"eau_culture";"cumul_superficie";"surf_verger";"pourcent_emblavee";"sup_non_ajust";"production_kg";"prix_kg_semence";"prix_kg_npk";"prix_kg_uree";"qte_kg_engrais_org";"prix_kg_engrais_org";"qte_kg_insect";"prix_insect";"qte_kg_fong";"prix_fong";"qte_kg_herb";"prix_herb";"charges_tot";"charge_transport_semence";"charge_transport_engrais";"autres_charges_intr";"prix_vente_indiv";"quant_vend_indiv";"cout_sac";"cout_for_sac";"cout_transport";"cout_stockage";"quant_stockage";"estim_depense_non_alimen";"culture_label.y";"cout_eau_irrig";"cout_carbur_irrig";"cout_elect_irrig";"depense_achat_alimen";"rev_tot_elev";"montant_transfert";"montant_rev_nonagri"
"1";1781;"csf";"oignon";0,05;0,12;36;36;4;2;0,1;0;107,67;107,67;0,05;0,05;100;0,05;1800;NA;240;230;NA;NA;10;7000;NA;NA;4;7000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20000;"1";NA;164400;NA;NA;NA;NA;NA
"2";1783;"csc";"piment";0,25;0,45;50;50;0;2;1,25;0;98,97;31,72;0,25;1;100;0,25;2100;NA;180;240;NA;NA;1;7000;1;7000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1_2";NA;110000;NA;107000;NA;NA;NA
"3";1783;"csf";"oignon";0,5;1;150;250;0;2;1,25;0;238,13;89,37;1;0,25;50;0,5;17600;NA;420;260;NA;NA;3;2333,33325195312;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10000;"1_2";NA;110000;NA;107000;NA;NA;NA
"4";1783;"csf";"pomme_de_terre";0,5;319,44;100;100;0;2;1,25;0;238,13;72,44;1;0,25;50;0,5;7800;NA;420;240;NA;NA;2;3500;2;2500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28000;"1_2";NA;110000;NA;107000;NA;NA;NA
"5";1785;"csc";"chou";0,5;0,3;150;150;0;3;3,5;891000;114,19;14,37;0,5;3;100;0,5;4800;NA;250;250;4000;400;6;1833,33337402344;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5000;"1";NA;189000;NA;140250;198000;NA;NA
"6";1785;"csf";"oignon";3;7,5;200;400;0;3;3,5;891000;153,33;134,04;3;0,5;100;3;11500;NA;250;250;1500;400;10;1200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7500;"1";NA;189000;NA;140250;198000;NA;NA
"7";1788;"csc";"carotte";0,5;1,6;50;50;0;2;1;268000;77,23;54,15;0,5;0,5;100;0,5;6800;NA;260;240;90;188;NA;NA;3;6000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;60000;NA;58375;NA;50000;NA
"8";1788;"csf";"oignon";0,5;2;50;50;0;2;1;268000;68,53;20,48;0,5;0,5;100;0,5;11000;NA;260;240;90;188;NA;NA;3;6000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5000;"1";NA;60000;NA;58375;NA;50000;NA
"9";1789;"csc";"chou";1;0,8;200;400;36;3;9,18;0;664,3;54,95;5,43;3,75;18,43;1;18500;NA;240;250;4000;400;NA;NA;NA;NA;1;7000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33500;"6_9";NA;1540000;NA;140500;245000;2e+05;NA
"10";1789;"csc";"pomme_de_terre";4,43;500;0;350;36;3;9,18;0;664,3;228,27;5,43;3,75;81,57;4,43;35401,19921875;NA;240;NA;5100;400;NA;NA;1;7000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40000;"6_9";NA;1540000;NA;140500;245000;2e+05;NA
"11";1789;"csf";"carotte";2;9,6;100;900;36;3;9,18;0;707,78;318,2;3,5;5,68;57,14;2;64000;NA;240;250;8000;400;NA;NA;NA;NA;48;2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39000;"6_9";NA;1540000;NA;140500;245000;2e+05;NA
"12";1789;"csf";"chou";1,5;3,2;300;400;36;3;9,18;0;707,78;87,82;3,5;5,68;42,86;1,5;15500;NA;240;250;6800;400;NA;NA;NA;NA;3;2333,33325195312;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33500;"6_9";NA;1540000;NA;140500;245000;2e+05;NA
"13";1793;"csf";"tomate";0,15;0,1;30;30;0;2;0,5;367000;76,36;32,56;0,3;0,2;50;0,15;4275;NA;250;300;NA;NA;3;1800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4000;"3_9_other";NA;NA;NA;26000;NA;240000;240000
"14";1793;"csf";"chou";0,15;0,1;0;1;0;2;0,5;367000;76,36;43,79;0,3;0,2;50;0,15;1100;NA;250;NA;NA;NA;5;2400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2500;"3_9_other";NA;NA;NA;26000;NA;240000;240000
"15";1800;"csc";"aubergine_amere";0,35;0,2;50;50;1;1;0,7;140000;65,27;42,5;0,35;0,35;100;0,35;3840;NA;300;300;NA;NA;3;6000;NA;NA;1;6000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"9";NA;45000;NA;NA;NA;NA;NA
"16";1800;"csf";"chou";0,35;0,3;50;100;1;1;0,7;140000;65,27;22,77;0,35;0,35;100;0,35;3150;NA;300;300;800;280;3;6000;NA;NA;1;6000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24000;"9";NA;45000;NA;NA;NA;NA;NA
"17";1804;"csc";"chou";0,5;0,8;350;0;16;3;6,28;0;272,92;18,88;1;5,28;50;0,5;10000;NA;NA;240;3200;400;2;3500;NA;NA;1;6000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;125000;"6_9_11";NA;420000;NA;149350;50000;NA;NA
