"";"tmc_log";"tmc_racine_n"
"region_de_dakar";0,0273653995100082;0,0277432710490035
"zoneurbaine_dakar";0,0273086833987658;0,0276849831002626
"zonerurale_dakar";0,0288986681572267;0,0293202862689372
"departement_de_dakar";0,0273653969457522;0,0277432684136067
"arrondissement__dakar_plateau";0,0273653287257468;0,0277431983009577
"ca._goree";0,0273634333020104;0,0277412502939509
"ca._plateau";0,027365831847118;0,027743715380655
"ca._medina";0,0273651734614122;0,0277430387291062
"ca._colobane_fass_gueule_tapee";0,0273651984439361;0,0277430644047216
"ca._fann_point_e__amitie";0,0273656077940256;0,0277434851115232
"arrondissement__grand_dakar";0,0273654924115223;0,0277433665279139
"ca._grand_dakar";0,0273658372523861;0,0277437209358853
"ca._biscuiterie";0,0273655640256349;0,0277434401288457
"ca._hlm";0,0273651149063079;0,0277429785495074
"ca._hann__bel_air_";0,0273653816286276;0,0277432526715351
"ca._sicap_liberte";0,027365726509121;0,0277436071201962
"ca._dieuppeul_derkle";0,0273645933975948;0,0277424425727288
"arrondissement__almadies";0,0273654951611896;0,0277433693538662
"ca._ouakam";0,0273657880359039;0,027743670353956
"ca._n.gor";0,0273647915441652;0,0277426462163892
"ca._yoff";0,0273652759199795;0,027743144030191
"ca.mermoz__sacre__coeur";0,0273650467603455;0,0277429085129752
"arrondissement__parcelles_ass";0,0273654491606766;0,0277433220771452
"ca._grand_yoff";0,0273652935477235;0,0277431621469841
"ca._patte_d.oie";0,0273656074066228;0,0277434847133724
"ca._parcelles_assainies";0,0273655576534152;0,0277434335798388
"ca._camberene";0,0273655456389221;0,0277434212320224
"departement_de_guediawaye";0,027365449291015;0,0277433222110997
"arrondissement__guediawaye";0,027365449291015;0,0277433222110997
"ca.__golf_sud";0,027365628384147;0,0277435062728866
"ca.__sam__notaire";0,0273654222297316;0,0277432943990468
"ca.__n.diareme_limamoulaye";0,02736576608433;0,0277436477933652
"ca.__wakhinane_nimzatt";0,0273656416236147;0,0277435198796636
"ca.__medina_gounass";0,0273652678123441;0,0277431356976243
"departement_de_pikine";0,0273654162566719;0,0277432882602746
"arrondissement_niayes";0,0273654275089312;0,0277432998247087
"ca._yeumbeul_nord";0,0273654598205738;0,0277433330327834
"ca._yeumbeul_sud";0,0273653681595796;0,0277432388288119
"ca._malika";0,0273660013230516;0,0277438895584954
"ca._keur_massar";0,0273653376364751;0,0277432074588981
"arrondissement_pikine_dagouda";0,0273654297940413;0,0277433021732152
"ca._pikine_ouest";0,0273648564767518;0,0277427129503798
"ca._pikine_est";0,0273656830691905;0,0277435624750864
"ca._pikine_sud";0,0273647924296936;0,0277426471264846
"ca._daliford";0,0273650373593145;0,0277428988511323
"ca._djidah_thiaroye_kao";0,0273650926646227;0,0277429556907718
"ca._guinaw_rail_nord";0,0273649139714714;0,0277427720401606
"ca._guinaw_rail_sud";0,027365219297103;0,0277430858364196
"arrondissement_thiaroye";0,0273653869109707;0,0277432581004275
"ca._thiaroye__mer";0,0273652952946946;0,0277431639424219
"ca._diack_sao";0,0273653944504569;0,0277432658490837
"ca._diamaguene_sicap_m.bao_";0,0273655856875635;0,027743462391751
"ca._thiaroye_gare";0,0273664796208486;0,0277443811262512
"ca._m.bao";0,0273655099847674;0,0277433845887001
"departement_de_rufisque";0,0273654543880106;0,0277433274495027
"arrondissement_bambylor";0,0273648465254533;0,0277427027230053
"cr._yene";0,0273644489106182;0,0277422940773413
"cr._bambylor";0,0273657005887845;0,0277435804807364
"cr._tivaouane_peulh_niagha";0,0273647196869056;0,0277425723656219
"arrondissement_rufisque";0,0273654738529178;0,0277433474544315
"ca._rufisque_centre_nord";0,027365162774395;0,0277430277455988
"ca._rufisque__est";0,0273652135220362;0,0277430799011347
"ca._rufisque_ouest";0,0273654894615129;0,0277433634960613
"com._bargny";0,0273654401732362;0,0277433128403632
"com._sebikotane";0,0273658500156077;0,0277437340532063
"com._diamniadio";0,0273647211742018;0,0277425738941794
"com._jaxaay_parcelle_niakoul_rap";0,0273650744701655;0,0277429369915467
"com._sangalkam";0,0273652678123441;0,0277431356976243
"com._sendou";0,0273700054103291;0,0277480047429668
"region_diourbel";0,031280968370988;0,0317753594064574
"zoneurbaine_diourbel";0,0327326844026695;0,033274291985782
"zonerurale_diourbel";0,0310011749766937;0,0314867158586616
"departement_bambey";0,0312809746766245;0,0317753659124576
"commune_de_bambey";0,0312819083076336;0,0317763292103834
"arrondissement_baba_garage";0,0312807319291677;0,0317751154516419
"cr.__baba_garage";0,0312800920921688;0,0317744552839598
"cr.__dinguiraye";0,031283253244786;0,0317777168856346
"cr.__k._samba_kane";0,0312800300015983;0,0317743912204971
"arrondissement_lambaye";0,0312807236574363;0,0317751069170753
"cr.__gawane";0,0312795160523023;0,0317738609409115
"cr.__lambaye";0,0312805454119311;0,0317749230078166
"cr.__n.gogom";0,0312817048445463;0,0317761192820074
"cr.__refane";0,0312814179239238;0,0317758232442034
"arrondissement_ngoye";0,031280839814437;0,0317752267649842
"cr.__dangalma";0,031281719723419;0,0317761346336731
"cr.__n.dondol";0,0312813376735707;0,0317757404438326
"cr.__n.goye";0,0312813951681675;0,0317757997653645
"cr.__thiakar";0,0312818604882451;0,0317762798714714
"departement_diourbel";0,0312810592407944;0,0317754531636887
"commune_de_diourbel";0,0312808009608484;0,0317751866768148
"arrondissement_ndindy";0,0312804482259149;0,0317748227337271
"cr.__dankh__sene";0,0312823044059072;0,0317767378952871
"cr.__gade_escale";0,0312823044059072;0,0317767378952871
"cr.__n.dindy";0,0312801984260085;0,0317745649965051
"cr.__keur_n.galgou";0,0312793062235109;0,0317736444450718
"cr.__taiba_moutoupha";0,0312791181688822;0,0317734504152805
"cr._touba_lappe";0,0312809619391975;0,0317753527702942
"arrondissement_ndoulo";0,031280775227657;0,0317751601259466
"cr.__n.doulo";0,0312797386833529;0,0317740906458357
"cr.__n.gohe";0,0312818829856197;0,031776303083729
"cr.__patar";0,0312814846437366;0,0317758920840954
"cr.__tocky_gare_";0,03128031727869;0,0317746876256861
"cr.__toure_m.bonde_";0,0312786593100955;0,0317729769770756
"departement_mbacke";0,0312809401261327;0,0317753302641119
"commune_de_mbacke";0,031281266904992;0,0317756674265324
"arrondissement_kael";0,0312816589993116;0,03177607197999
"cr.__dendeye_gouye_gui";0,031278750518309;0,0317730710832498
"cr.__darou_salam__typ";0,0312763138102182;0,0317705569565228
"cr.__kael";0,0312831270373925;0,0317775866676666
"cr.__madina";0,0312845641703495;0,0317790694703062
"cr.__n.dioumane__t._thiekene";0,0312848651644222;0,031779380029737
"cr.__touba__m.boul";0,0312818659951637;0,0317762855533794
"cr.__darou_nahim";0,0312774482925447;0,0317717274826486
"cr.__taiba_tieckene";0,0312903563246857;0,031785045711225
"arrondissement_ndame";0,0312809909153854;0,0317753826672111
