;tmc_log;tmc_racine_n
cr.__diokoul_m.belbouck;0,035616454;0,036258318
com._kebemer;0,027551015;0,027934054
arrondissement_ndande;0,027550238;0,027933255
cr.__badegne_ouolof;0,027551498;0,027934551
cr.__diokoul_diawrigne;0,027551344;0,027934392
cr.__kab_gaye;0,02754786;0,02793081
cr.__ndande;0,027550973;0,02793401
cr.__thieppe;0,02755078;0,027933813
cr.__diende;0,033831042;0,03440982
departement_thies;0,026702523;0,02706223
com._pout;0,026703669;0,027063407
com._cayar;0,026703712;0,027063451
arrondissement_thies_nord;0,026702634;0,027062344
ca._thies_nord;0,026702634;0,027062344
arrondissement_thies_sud;0,026702588;0,027062297
ca._thies_est;0,026702379;0,027062082
ca._thies_ouest;0,026702186;0,027061883
cr.__notto;0,026702401;0,027062105
arrondissemnt__keur_moussa;0,026702246;0,027061946
cr.__diender_guedji;0,026703207;0,027062933
cr.__fandene;0,026702397;0,027062101
cr.__keur_moussa;0,026702281;0,027061981
departement__tivaouane;0,026702442;0,027062147
com._mekhe;0,026701422;0,027061099
com._tivaouane;0,026702764;0,027062478
com._m.boro;0,02670206;0,027061754
arrondissement__meouane;0,026702755;0,027062468
cr.__meouane;0,026703349;0,027063079
cr.__taiba_n.diaye;0,026702309;0,02706201
cr.__darou_khoudoss;0,026702545;0,027062252
arrondissement__pambal;0,026702704;0,027062416
cr.__cherif_lo;0,026701388;0,027061065
cr.__mont__rolland;0,026701803;0,027061491
cr.__notto_gouye_diama;0,02670365;0,027063387
cr.__pire_goureye;0,026702599;0,027062308
